2024/09/22 - 00:47:04		auto	GETACK	Appliance.System.All	{"system":{"hardware":{"type":"mss426","subType":"uk","version":"4.0.0","chipType":"MT7686","uuid":"###############################1","macAddress":"################0"},"firmware":{"version":"4.1.1","homekitVersion":"2.0.1","compileTime":"Sep  8 2020 13:45:19","wifiMac":"################0","innerIp":"############0","server":"###################0","port":"@0","userId":"@0"},"time":{"timestamp":1726962211,"timezone":"Europe/London","timeRule":[[1679792400,3600,1],[1698541200,0,0],[1711846800,3600,1],[1729990800,0,0],[1743296400,3600,1],[1761440400,0,0],[1774746000,3600,1],[1792890000,0,0],[1806195600,3600,1],[1824944400,0,0],[1837645200,3600,1],[1856394000,0,0],[1869094800,3600,1],[1887843600,0,0],[1901149200,3600,1],[1919293200,0,0],[1932598800,3600,1],[1950742800,0,0],[1964048400,3600,1],[1982797200,0,0]]},"online":{"status":1,"bindId":"LHxMuI6QWsGfFxGD","who":1}},"digest":{"togglex":[{"channel":0,"onoff":1,"lmTime":1726959027},{"channel":1,"onoff":1,"lmTime":1726959325},{"channel":2,"onoff":1,"lmTime":1726959027},{"channel":3,"onoff":1,"lmTime":1726959027},{"channel":4,"onoff":1,"lmTime":1726959027},{"channel":5,"onoff":1,"lmTime":1726959027},{"channel":6,"onoff":1,"lmTime":1726959027},{"channel":7,"onoff":1,"lmTime":1726960067}],"triggerx":[],"timerx":[]}}
2024/09/22 - 00:47:04		auto	GETACK	Appliance.System.Ability	{"Appliance.Config.Key":{},"Appliance.Config.WifiList":{},"Appliance.Config.Wifi":{},"Appliance.Config.Trace":{},"Appliance.Config.Info":{},"Appliance.System.All":{},"Appliance.System.Hardware":{},"Appliance.System.Firmware":{},"Appliance.System.Debug":{},"Appliance.System.Online":{},"Appliance.System.Time":{},"Appliance.System.Clock":{},"Appliance.System.Ability":{},"Appliance.System.Runtime":{},"Appliance.System.Report":{},"Appliance.System.Position":{},"Appliance.System.DNDMode":{},"Appliance.Control.Multiple":{"maxCmdNum":5},"Appliance.Control.ToggleX":{},"Appliance.Control.TimerX":{"sunOffsetSupport":1},"Appliance.Control.TriggerX":{},"Appliance.Control.Bind":{},"Appliance.Control.Unbind":{},"Appliance.Control.Upgrade":{},"Appliance.Digest.TriggerX":{},"Appliance.Digest.TimerX":{}}
2024/09/22 - 00:47:06		auto	LOG	debug	Tracing Appliance.Config.Info ability
2024/09/22 - 00:47:08		auto	LOG	debug	Tracing Appliance.System.Debug ability
2024/09/22 - 00:47:10		auto	LOG	debug	Tracing Appliance.System.Runtime ability
2024/09/22 - 00:47:12		auto	LOG	debug	Tracing Appliance.Control.ToggleX ability
2024/09/22 - 00:47:14		auto	LOG	debug	Tracing abilities end
2024/09/22 - 00:47:25		auto	LOG	debug	Polling begin
2024/09/22 - 00:47:25		auto	LOG	debug	Polling end
2024/09/22 - 00:47:55		auto	LOG	debug	Polling begin
2024/09/22 - 00:47:55		auto	LOG	debug	Going offline!
2024/09/22 - 00:47:55		auto	LOG	debug	Polling end
2024/09/22 - 00:48:25		auto	LOG	debug	Polling begin
2024/09/22 - 00:48:25		auto	LOG	debug	Polling end
2024/09/22 - 00:49:25		auto	LOG	debug	Polling begin
2024/09/22 - 00:49:25		auto	LOG	debug	Polling end
2024/09/22 - 00:50:55		auto	LOG	debug	Polling begin
2024/09/22 - 00:50:55	TX	mqtt	GET	Appliance.System.All	{"all":{}}
2024/09/22 - 00:50:56	RX	mqtt	GETACK	Appliance.System.All	{"all":{"system":{"hardware":{"type":"mss426","subType":"uk","version":"4.0.0","chipType":"MT7686","uuid":"###############################1","macAddress":"################0"},"firmware":{"version":"4.1.1","homekitVersion":"2.0.1","compileTime":"Sep  8 2020 13:45:19","wifiMac":"################0","innerIp":"############0","server":"###################0","port":"@0","userId":"@0"},"time":{"timestamp":1726962655,"timezone":"Europe/London","timeRule":[[1679792400,3600,1],[1698541200,0,0],[1711846800,3600,1],[1729990800,0,0],[1743296400,3600,1],[1761440400,0,0],[1774746000,3600,1],[1792890000,0,0],[1806195600,3600,1],[1824944400,0,0],[1837645200,3600,1],[1856394000,0,0],[1869094800,3600,1],[1887843600,0,0],[1901149200,3600,1],[1919293200,0,0],[1932598800,3600,1],[1950742800,0,0],[1964048400,3600,1],[1982797200,0,0]]},"online":{"status":1,"bindId":"LHxMuI6QWsGfFxGD","who":1}},"digest":{"togglex":[{"channel":0,"onoff":1,"lmTime":1726959027},{"channel":1,"onoff":1,"lmTime":1726959325},{"channel":2,"onoff":1,"lmTime":1726959027},{"channel":3,"onoff":1,"lmTime":1726959027},{"channel":4,"onoff":1,"lmTime":1726959027},{"channel":5,"onoff":1,"lmTime":1726959027},{"channel":6,"onoff":1,"lmTime":1726959027},{"channel":7,"onoff":1,"lmTime":1726960067}],"triggerx":[],"timerx":[]}}}
2024/09/22 - 00:50:56		auto	LOG	debug	Back online!
2024/09/22 - 00:50:56		auto	LOG	debug	Polling end
2024/09/22 - 00:51:26		auto	LOG	debug	Polling begin
2024/09/22 - 00:51:26		auto	LOG	debug	Polling end
2024/09/22 - 00:51:56		auto	LOG	debug	Polling begin
2024/09/22 - 00:51:56		auto	LOG	debug	Polling end
2024/09/22 - 00:52:26		auto	LOG	debug	Polling begin
2024/09/22 - 00:52:26		auto	LOG	debug	Polling end
2024/09/22 - 00:52:56		auto	LOG	debug	Polling begin
2024/09/22 - 00:52:56		auto	LOG	debug	Polling end
2024/09/22 - 00:53:26		auto	LOG	debug	Polling begin
2024/09/22 - 00:53:26		auto	LOG	debug	Polling end
2024/09/22 - 00:53:56		auto	LOG	debug	Polling begin
2024/09/22 - 00:53:56		auto	LOG	debug	Polling end
2024/09/22 - 00:54:26		auto	LOG	debug	Polling begin
2024/09/22 - 00:54:26		auto	LOG	debug	Polling end
2024/09/22 - 00:54:56		auto	LOG	debug	Polling begin
2024/09/22 - 00:54:56		auto	LOG	debug	Polling end
2024/09/22 - 00:55:26		auto	LOG	debug	Polling begin
2024/09/22 - 00:55:26		auto	LOG	debug	Polling end
2024/09/22 - 00:55:56		auto	LOG	debug	Polling begin
2024/09/22 - 00:55:56		auto	LOG	debug	Polling end
2024/09/22 - 00:56:26		auto	LOG	debug	Polling begin
2024/09/22 - 00:56:26		auto	LOG	debug	Polling end
2024/09/22 - 00:56:56		auto	LOG	debug	Polling begin
2024/09/22 - 00:56:56		auto	LOG	debug	Polling end
